"Repo","Name","RelPath","SizeKB","Hint"
"CoCache","InSeed_Logo_Shadow.png","CoCache\advice-bombs\extracted\Desktop_Roundup_20251017_110528\InSeed_Logo_Shadow.png","6.8","name-match"
"CoCache","InSeed_Logo_Shadow.png","CoCache\advice-bombs\extracted\Desktop_Roundup_20251017_105715\InSeed_Logo_Shadow.png","6.8","name-match"
"CoCivium","broken-line.svg","CoCivium\assets\icons\broken-line.svg","0.5","folder-match"
"CoCivium","build.svg","CoCivium\assets\badges\build.svg","0.4","folder-match"
"CoCivium","coevolve-line.svg","CoCivium\assets\icons\coevolve-line.svg","0.6","folder-match"
"CoCivium","docs.svg","CoCivium\assets\badges\docs.svg","0.4","folder-match"
"CoCivium","fatal.svg","CoCivium\docs\assets\branding\cobloat\fatal.svg","0.1","folder-match"
"CoCivium","feels-line.svg","CoCivium\assets\icons\feels-line.svg","0.7","folder-match"
"CoCivium","for-you-line.svg","CoCivium\assets\icons\for-you-line.svg","0.9","folder-match"
"CoCivium","governments-line.svg","CoCivium\assets\icons\governments-line.svg","1.1","folder-match"
"CoCivium","hard.svg","CoCivium\docs\assets\branding\cobloat\hard.svg","0.1","folder-match"
"CoCivium","how-line.svg","CoCivium\assets\icons\how-line.svg","0.5","folder-match"
"CoCivium","license.svg","CoCivium\assets\badges\license.svg","0.4","folder-match"
"CoCivium","life-line.svg","CoCivium\assets\icons\life-line.svg","1","folder-match"
"CoCivium","ok.svg","CoCivium\docs\assets\branding\cobloat\ok.svg","0.1","folder-match"
"CoCivium","soft.svg","CoCivium\docs\assets\branding\cobloat\soft.svg","0.1","folder-match"
"CoCivium","solutions-line.svg","CoCivium\assets\icons\solutions-line.svg","0.8","folder-match"
"CoCivium","unknown.svg","CoCivium\docs\assets\branding\cobloat\unknown.svg","0.1","folder-match"
"CoCivium","until-line.svg","CoCivium\assets\icons\until-line.svg","0.9","folder-match"
"CoCivium","who-line.svg","CoCivium\assets\icons\who-line.svg","0.5","folder-match"
"CoCivium","why-line.svg","CoCivium\assets\icons\why-line.svg","0.6","folder-match"
"CoCivium","agent.svg","CoCivium\site\assets\gib\agent.svg","0.3","generic"
"CoCivium","AISA_System_Architecture_Diagram (1).png","CoCivium\legacy\Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram (1).png","119.8","generic"
"CoCivium","AISA_System_Architecture_Diagram (1).png","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram (1).png","119.8","generic"
"CoCivium","AISA_System_Architecture_Diagram.png","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram.png","119.8","generic"
"CoCivium","AISA_System_Architecture_Diagram.png","CoCivium\legacy\Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram.png","119.8","generic"
"CoCivium","asset-graph-map.svg","CoCivium\docs\diagrams\_previews\render\asset-graph-map.svg","6.9","generic"
"CoCivium","bio_vs_synth_observers_c1_20250809.svg","CoCivium\assets\diagrams\bio_vs_synth_observers_c1_20250809.svg","2.2","generic"
"CoCivium","bio_vs_synth_observers_c1_20250809.svg","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\assets\diagrams\bio_vs_synth_observers_c1_20250809.svg","2.2","generic"
"CoCivium","blank-1x1.png","CoCivium\docs\diagrams\assets\blank-1x1.png","0.1","generic"
"CoCivium","cc-crest.png","CoCivium\assets\cc\cc-crest.png","18.3","generic"
"CoCivium","cc-crest.svg","CoCivium\assets\cc\cc-crest.svg","0.2","generic"
"CoCivium","Circumplex-model-of-affect-spanned-by-valence-and-arousal-dimensions-Inner-circle-shows.png","CoCivium\docs\history\LeastAmongUs\canonicals\v1\images\Circumplex-model-of-affect-spanned-by-valence-and-arousal-dimensions-Inner-circle-shows.png","41.5","generic"
"CoCivium","Circumplex-model-of-affect-spanned-by-valence-and-arousal-dimensions-Inner-circle-shows.png","CoCivium\docs\history\LeastAmongUs\Circumplex-model-of-affect-spanned-by-valence-and-arousal-dimensions-Inner-circle-shows.png","41.5","generic"
"CoCivium","co-loop.svg","CoCivium\docs\diagrams\co-loop.svg","1","generic"
"CoCivium","CoAgency-Visual-Core.png","CoCivium\insights\CoAgency\CoAgency-Visual-Core.png","141.8","generic"
"CoCivium","CoAgency-Visual-Core.svg","CoCivium\insights\CoAgency\CoAgency-Visual-Core.svg","45.3","generic"
"CoCivium","CoAgency-Visual-Orbits.png","CoCivium\insights\CoAgency\CoAgency-Visual-Orbits.png","192","generic"
"CoCivium","CoAgency-Visual-Orbits.svg","CoCivium\insights\CoAgency\CoAgency-Visual-Orbits.svg","47.9","generic"
"CoCivium","cognocarta_4k_wallpaper.jpg","CoCivium\site\assets\cognocarta_4k_wallpaper.jpg","398.2","generic"
"CoCivium","cognocarta_scroll_og.jpg","CoCivium\site\assets\cognocarta_scroll_og.jpg","65.8","generic"
"CoCivium","cognocarta_scroll_og.png","CoCivium\site\assets\cognocarta_scroll_og.png","381.3","generic"
"CoCivium","cognocarta_scroll_og.svg","CoCivium\site\assets\cognocarta_scroll_og.svg","3.5","generic"
"CoCivium","cognocarta_tile_chip_og.png","CoCivium\site\assets\cognocarta_tile_chip_og.png","60.1","generic"
"CoCivium","cognocarta_tile_chip_og.svg","CoCivium\site\assets\cognocarta_tile_chip_og.svg","4.2","generic"
"CoCivium","cognocarta-scroll.svg","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\assets\cognocarta-scroll.svg","1","generic"
"CoCivium","cognocarta-scroll.svg","CoCivium\assets\cognocarta-scroll.svg","1","generic"
"CoCivium","commons.svg","CoCivium\site\assets\gib\commons.svg","0.4","generic"
"CoCivium","concord.svg","CoCivium\site\assets\gib\concord.svg","0.3","generic"
"CoCivium","consent.svg","CoCivium\site\assets\gib\consent.svg","0.3","generic"
"CoCivium","consenti_og.png","CoCivium\site\assets\consenti_og.png","118.3","generic"
"CoCivium","consenti_og.svg","CoCivium\site\assets\consenti_og.svg","2.6","generic"
"CoCivium","covenant.svg","CoCivium\site\assets\gib\covenant.svg","0.3","generic"
"CoCivium","credibility_eye.svg","CoCivium\docs\img\credibility_eye.svg","0.6","generic"
"CoCivium","engagement-ladder.svg","CoCivium\docs\diagrams\engagement-ladder.svg","1.1","generic"
"CoCivium","evidence.svg","CoCivium\site\assets\gib\evidence.svg","0.3","generic"
"CoCivium","Evomap_Mockup_v1.png","CoCivium\projects\website\Evomap_Mockup_v1.png","1472.3","generic"
"CoCivium","Evomap_Mockup_v1.png","CoCivium\legacy\Civium\projects\website\Evomap_Mockup_v1.png","1472.3","generic"
"CoCivium","Evomap_Mockup_v1.png","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\projects\website\Evomap_Mockup_v1.png","1472.3","generic"
